Lx,Lz,alpha,gamma,id,norm,shear,dissipation,residual
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,1,0.25962967058503555,1.4240806459019089,1.536257446283459,4.2172821411560223e-10
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,2,0.2657201004868746,1.51191980941915,1.5611764355462439,1.1464599564260138e-8
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,3,0.3186712709021343,1.5717216816428903,1.7543976423958052,6.218320269359672e-12
13.75,9.333333333333334,0.4569589314312426,0.6731984257692414,4,0.4095976955012454,1.2414869084871585,1.249045164900835,4.570973426904539e-13
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,1,0.3837609629846941,1.2036175918137701,1.199409724383119,4.4198895530731094e-13
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,2,0.25491190871852354,1.440029698691678,1.58649462405059,3.873229228921204e-10
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,3,0.5586518542855756,1.507354342922346,1.551078692239148,7.828952869637348e-9
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,4,0.4924342428941765,2.6248042187337717,2.54806806295172,3.7228672198410843e-11
12.5,8.333333333333334,0.5026548245743669,0.7539822368615503,5,0.3346938435635914,1.6654304050293276,1.8212656618344165,1.663061032268517e-8
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,1,0.35909367277221294,1.214151643092559,1.202617543523277,6.120954615690156e-14
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,2,0.28571609246116114,1.7036193528093735,2.0128952109736575,1.3659921413595824e-8
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,3,0.3269728326256913,2.05349858679147,2.277147207163734,1.9875316701984493e-8
8.75,5.333333333333333,0.7180783208205241,1.1780972450961724,4,0.24216251696170674,1.465417953161709,1.781406895432109,4.639394204807007e-13
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,1,0.2521413724583509,1.4570067974368988,1.6498673686424472,1.9421985248772143e-10
11.25,7.333333333333333,0.5585053606381855,0.85679799643358,2,0.37075501672520866,1.1906289032645982,1.182531812802799,9.534775322197442e-9
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,1,0.25021919126291065,1.4736906959093017,1.7275916552349735,2.9546846328903622e-8
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,2,0.3638671760764199,1.1944811884232158,1.184765616635215,1.467987736453198e-12
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,3,0.35805402105562417,2.163990691427741,2.333535220915121,3.061405924350465e-10
10.0,6.333333333333333,0.6283185307179586,0.9920818906073031,4,0.4928407375557438,1.3939268216409697,1.407898146997968,1.607463165008995e-8
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,1,0.1672169151776295,1.2210735252868186,1.433138062145353,7.322642901493225e-13
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,2,0.35225972550323437,1.2558276073126944,1.2412676275156669,1.6321433934545692e-9
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,3,0.3143016169615365,2.1006982184012246,2.3263935229877912,2.340795848938034e-12
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,4,0.2596988975585885,1.6186062067906717,1.9636255278117292,4.916671257408565e-12
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,1,0.10488780456026513,1.126970565075371,1.2194901793742527,1.5249160399320546e-10
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,2,0.23965116146034293,1.7712878561756318,1.966104752865844,3.2360090685802025e-9
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,3,0.3043808348171598,2.2837122688808535,2.436943012966598,4.863656611585455e-10
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,4,0.33837627083523236,1.337779245626249,1.3228060103269066,8.050282959152295e-9
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,1,0.2712563054941297,1.4543477195950187,1.5636486712891084,2.0944600839297046e-8
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,2,0.2683602291546514,1.5336734514365797,1.5664138033351076,1.740298599464294e-9
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,3,0.3043619252011967,1.6319228949534468,1.9073626472447087,3.1494908180066336e-8
13.75,9.666666666666666,0.4569589314312426,0.6499846869496124,4,0.41807726595179145,1.2564556567914473,1.2701227731158469,1.4427536178969225e-8
