timestamp,physical_id,case,group,J,K,L,source,sol_id,direction,status,n_points,min_Re,max_Re,min_input,max_input,error,out_dir,seed
2026-04-27T21:37:15,re300_lx10_lz6_025,re300_lx10_lz6,C,2,4,6,on,3,minus,resume,12,292.0388,300.72447,2.496375,2.5491037,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_025/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_025/C_J2K4L6_ubest.nc
2026-04-27T21:37:15,re300_lx10_lz6_011,re300_lx10_lz6,C,1,3,5,on,6,plus,resume,17,299.98,430.26477,1.3042408,1.5048965,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_011/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_011/C_J1K3L5_ubest.nc
2026-04-27T21:37:15,re300_lx10_lz6_007,re300_lx10_lz6,C,3,4,9,ls,1,plus,resume,13,299.98,516.544,1.2295185,1.3324479,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_007/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_007/C_J3K4L9_ubest.nc
2026-04-27T21:37:15,re300_lx10_lz6_021,re300_lx10_lz6,C,2,4,9,ls,2,plus,resume,37,299.98,506.01048,1.9786006,3.0998563,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_021/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_021/C_J2K4L9_ubest.nc
2026-04-28T00:14:08,re300_lx10_lz6_025,re300_lx10_lz6,C,2,4,6,on,3,plus,ok,20,299.98,500.15458,2.5081461,3.134991,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_025/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_025/C_J2K4L6_ubest.nc
2026-04-28T01:59:58,re300_lx10_lz6_014,re300_lx10_lz6,D,2,4,9,on,2,minus,ok,53,185.20738,300.02,1.5803066,3.5509005,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_014/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_014/D_J2K4L9_ubest.nc
2026-04-28T07:11:08,re300_lx10_lz6_019,re300_lx10_lz6,D,2,4,9,ls,1,minus,ok,47,244.99491,400.05398,1.8286991,2.6748174,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_019/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_019/D_J2K4L9_ubest.nc
2026-04-28T12:47:19,re300_lx10_lz6_002,re300_lx10_lz6,G,2,4,5,ls,6,minus,ok,37,273.64614,495.36254,1.1387864,1.2225851,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_002/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_002/G_J2K4L5_ubest.nc
2026-04-28T19:28:53,re300_lx10_lz6_012,re300_lx10_lz6,D,1,3,5,on,3,minus,ok,45,290.42707,655.581,1.5626072,2.3381621,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_012/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_012/D_J1K3L5_ubest.nc
2026-04-28T20:07:03,re300_lx10_lz6_014,re300_lx10_lz6,D,2,4,9,on,2,plus,ok,35,299.98,451.87528,1.5656772,1.673752,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_014/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_014/D_J2K4L9_ubest.nc
2026-04-28T20:33:53,re300_lx10_lz6_012,re300_lx10_lz6,D,1,3,5,on,3,plus,ok,18,299.98,519.81957,1.3886151,1.562805,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_012/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_012/D_J1K3L5_ubest.nc
2026-04-28T21:12:27,re300_lx10_lz6_019,re300_lx10_lz6,D,2,4,9,ls,1,plus,ok,39,299.98,449.221,1.8306565,2.2821563,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_019/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_019/D_J2K4L9_ubest.nc
2026-04-29T00:26:27,re300_lx10_lz6_013,re300_lx10_lz6,E,3,5,11,on,1,minus,ok,50,155.93832,347.10551,1.5754719,3.0257298,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_013/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_013/E_J3K5L11_ubest.nc
2026-04-29T01:14:13,re300_lx10_lz6_013,re300_lx10_lz6,E,3,5,11,on,1,plus,ok,12,299.98,509.62296,1.4886664,1.5755287,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_013/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_013/E_J3K5L11_ubest.nc
2026-04-29T02:18:26,re300_lx10_lz6_016,re300_lx10_lz6,E,2,4,5,on,4,minus,ok,53,246.97053,409.95298,1.6985278,2.974818,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_016/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_016/E_J2K4L5_ubest.nc
2026-04-29T07:26:14,re300_lx10_lz6_002,re300_lx10_lz6,G,2,4,5,ls,6,plus,ok,34,299.98,360.36331,1.1844991,1.307116,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_002/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_002/G_J2K4L5_ubest.nc
2026-04-29T11:58:07,re300_lx10_lz6_024,re300_lx10_lz6,D,2,4,8,on,1,minus,ok,32,251.5061,300.02,1.7378308,2.1228778,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_024/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_024/D_J2K4L8_ubest.nc
2026-04-29T13:00:32,re300_lx10_lz6_016,re300_lx10_lz6,E,2,4,5,on,4,plus,ok,45,239.69311,361.06583,1.4721289,1.9937382,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_016/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_016/E_J2K4L5_ubest.nc
2026-04-29T17:35:31,re300_lx10_lz6_022,re300_lx10_lz6,E,3,5,11,ls,2,minus,ok,40,255.9,385.85711,2.0997299,3.0944515,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_022/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_022/E_J3K5L11_ubest.nc
2026-04-29T18:21:14,re300_lx10_lz6_022,re300_lx10_lz6,E,3,5,11,ls,2,plus,ok,12,299.98,515.35438,2.0974219,2.1135996,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_022/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_022/E_J3K5L11_ubest.nc
2026-04-29T18:29:40,re300_lx10_lz6_018,re300_lx10_lz6,E,2,4,9,ls,4,minus,ok,42,290.40897,701.49315,1.3882973,1.7838639,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_018/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_018/E_J2K4L9_ubest.nc
2026-04-29T20:36:14,re300_lx10_lz6_018,re300_lx10_lz6,E,2,4,9,ls,4,plus,ok,19,299.98,500.4091,1.7836313,2.0322203,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_018/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_018/E_J2K4L9_ubest.nc
2026-04-30T01:34:03,re300_lx10_lz6_023,re300_lx10_lz6,E,1,4,5,ls,5,minus,ok,39,278.00869,306.10324,1.6616838,2.1073932,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_023/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_023/E_J1K4L5_ubest.nc
2026-04-30T02:16:07,re300_lx10_lz6_003,re300_lx10_lz6,G,2,4,5,on,1,minus,ok,53,240.46881,313.79353,1.2110799,2.8237243,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_003/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_003/G_J2K4L5_ubest.nc
2026-04-30T02:27:31,re300_lx10_lz6_001,re300_lx10_lz6,G,2,4,5,on,4,minus,ok,48,213.9188,300.02,1.129668,2.0431422,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_001/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_001/G_J2K4L5_ubest.nc
2026-04-30T02:59:31,re300_lx10_lz6_003,re300_lx10_lz6,G,2,4,5,on,1,plus,ok,13,299.98,520.24917,1.1249168,1.2111236,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_003/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_003/G_J2K4L5_ubest.nc
2026-04-30T03:41:22,re300_lx10_lz6_001,re300_lx10_lz6,G,2,4,5,on,4,plus,ok,19,299.98,517.41042,1.1183289,1.138421,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_001/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_001/G_J2K4L5_ubest.nc
2026-04-30T05:58:20,re300_lx10_lz6_024,re300_lx10_lz6,D,2,4,8,on,1,plus,ok,40,299.98,439.40799,2.1224286,2.8789045,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_024/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_024/D_J2K4L8_ubest.nc
2026-04-30T08:57:59,re300_lx10_lz6_023,re300_lx10_lz6,E,1,4,5,ls,5,plus,ok,44,299.98,504.11261,2.1070972,3.1983725,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_023/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_023/E_J1K4L5_ubest.nc
2026-04-30T10:45:44,re300_lx10_lz6_009,re300_lx10_lz6,G,1,3,5,ls,11,minus,ok,53,224.21094,780.77291,1.3851939,4.0409315,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_009/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_009/G_J1K3L5_ubest.nc
2026-04-30T11:24:42,re300_lx10_lz6_009,re300_lx10_lz6,G,1,3,5,ls,11,plus,ok,13,299.98,526.18127,1.2817676,1.3852386,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_009/plus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_009/G_J1K3L5_ubest.nc
2026-04-30T16:34:35,re300_lx10_lz6_015,re300_lx10_lz6,G,2,4,6,ls,1,minus,ok,50,180.2272,574.49095,1.6793912,2.9721192,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/dns_bidirectional_bifurcations/re300_lx10_lz6_015/minus,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/eqb_catalog/solutions/re300_lx10_lz6_015/G_J2K4L6_ubest.nc
