                     %Lz                     obs                       s                guesserr                   error     directory
               8.3121025               2.3769494                       0                       0           1.1014044e-15  ./initial-2/
               8.3171025               2.3902899                       0                       0           1.2972756e-14  ./initial-1/
               8.3221025               2.4074482                       0                       0           1.8397595e-14  ./initial-0/
               8.3255105               2.4231818             0.013798491           1.6424354e-05           8.6542402e-16   search-0/
               8.3267953               2.4321684             0.017561268           5.4338994e-06           6.0797904e-16   search-2/
               8.3271104                2.436164             0.019233299           7.8106927e-07           1.0023956e-15   search-5/
               8.3271646                2.437373              0.01973913           5.8438161e-08           4.0636016e-15   search-9/
               8.3271997               2.4387392             0.020310738           1.5682545e-08           6.2634973e-15   search-11/
               8.3271866               2.4411722             0.021328587           4.9667152e-08             6.25293e-14   search-12/
                 8.32687               2.4456416             0.023198807           2.5742514e-07           1.2563386e-14   search-13/
               8.3251005               2.4536634             0.026561545           1.5857133e-06           3.0572156e-16   search-14/
               8.3187227               2.4655306             0.031585169           6.0185997e-06           4.4893419e-16   search-15/
               8.3060007                2.478088             0.037056824           8.6465692e-06           2.9443633e-16   search-16/
               8.2863313               2.4910532             0.042974052           9.5166515e-06           6.7818083e-15   search-17/
               8.2605195               2.5043317              0.04933737           1.1312854e-05           3.9704046e-14   search-18/
               8.2298787               2.5179795              0.05613241           1.2401151e-05           7.2439037e-14   search-19/
               8.1960592               2.5319244              0.06324368           1.1611367e-05           3.0869562e-14   search-20/
               8.1604471               2.5461133             0.070562871           1.0048378e-05           3.3175543e-14   search-21/
               8.1178516               2.5630133             0.079293152           1.1784396e-05           2.3977451e-14   search-22/
               8.0751283               2.5804157             0.088203351           1.2768816e-05           1.5886866e-14   search-23/
               8.0331626               2.5986082             0.097334954           1.4210292e-05           2.2341725e-14   search-24/
               7.9930384               2.6181164              0.10681564           1.7020116e-05           9.9941608e-14   search-25/
               7.9623712               2.6361548               0.1152148           1.7671157e-05           4.4353713e-16   search-26/
               7.9415098               2.6531861              0.12276858           1.9023413e-05            6.337623e-15   search-27/
               7.9366144               2.6594365              0.12544891           6.2646488e-06           1.1383558e-15   search-29/
               7.9343508               2.6639164              0.12734278           2.5831528e-06           5.4685296e-16   search-31/
               7.9337523                2.665899              0.12817534           5.9639352e-07           4.8316406e-14   search-34/
               7.9335439               2.6669917              0.12863319           1.3921007e-07           3.3982145e-15   search-37/
               7.9334211               2.6682482              0.12915904           7.9017091e-08           3.3030312e-16   search-39/
