                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.3940977                       0                       0           2.1673499e-16  ./initial-2/
                     300               1.3942056                       0                       0           3.8817817e-14  ./initial-1/
                  299.98               1.3943136                       0                       0           3.2898276e-16  ./initial-0/
               292.24657                1.448618             0.046810023           1.3539476e-05           4.8088166e-14   search-0/
               288.95645               1.4827273             0.073620723           1.6908672e-05           3.9989855e-14   search-1/
               286.50432               1.5168242             0.099406633           1.3285404e-05           3.6521046e-14   search-2/
                284.4747               1.5604699              0.13143444           1.1312886e-05           5.2350165e-14   search-3/
               283.88206               1.5894355              0.15230378           4.5427158e-06           3.2972077e-16   search-5/
               283.88244               1.6010323              0.16062164           9.3093439e-06           2.7714054e-16   search-6/
               284.23786               1.6143602              0.17025433           4.9188683e-06           2.4661525e-15   search-7/
               285.20189               1.6209643              0.17597825           8.0287117e-06           3.4587453e-15   search-8/
               286.72714               1.6172466              0.18171928           1.2969271e-05           4.8453004e-15   search-9/
               288.50537               1.6074609              0.19090611           1.6520757e-05           4.5770595e-14   search-10/
               289.36385               1.6020854              0.19570761             1.80734e-05           3.2325097e-15   search-11/
               291.49881               1.5879806              0.20807662           1.0919276e-05           1.3303991e-16   search-12/
               293.92437               1.5688908              0.22397785           1.1577368e-05           2.1564144e-16   search-13/
               294.08706               1.5666756              0.22565674           1.1260879e-06           9.4232977e-16   search-17/
               294.16172               1.5647825              0.22703718           3.4094903e-07           1.1922647e-15   search-20/
               294.15099               1.5635552              0.22791818            3.070096e-06           3.1696882e-16   search-21/
               293.99307               1.5621538              0.22905286           1.8177712e-06           4.6059613e-15   search-22/
               293.22701               1.5617063              0.23162648            5.404656e-06           6.2251664e-16   search-23/
               291.70361               1.5647393              0.23715083           8.7485109e-06           1.5452573e-15   search-24/
               290.63347               1.5679185              0.24138451           1.4818445e-05            2.772868e-14   search-25/
               288.69408               1.5749015               0.2495624           1.1143733e-05           5.3695219e-16   search-26/
               285.83304                1.587148                0.262528           1.2221974e-05           4.5202989e-16   search-27/
               282.69484               1.6022683              0.27759589           1.1215039e-05           2.1124115e-16   search-28/
               278.77192               1.6211729              0.29643334           1.0036507e-05           6.3167449e-16   search-29/
               276.09187               1.6290404              0.30699983           2.8034286e-06           1.7464659e-15   search-31/
               274.62259               1.6234662               0.3133221           4.0561529e-06           7.6709836e-14   search-33/
               274.38226               1.6192245              0.31646823           2.1802349e-06           1.2582949e-15   search-36/
               274.70288               1.6244023              0.32033278           5.4026381e-06           1.7056294e-16   search-37/
               275.27172               1.6280627              0.32357134           1.4316937e-05           8.0569023e-15   search-38/
                277.8491               1.6248597              0.33246444           1.1980466e-05           1.7929788e-14   search-39/
               280.78717               1.6117509              0.34604084           1.9883788e-05           1.5099457e-16   search-40/
               282.05781               1.6054431              0.35223832            1.705615e-05           1.1945185e-14   search-41/
               286.26488               1.5851832              0.37243299            1.066457e-05           3.1912432e-16   search-42/
               292.20515               1.5634874              0.39761698           1.0283606e-05           2.3078062e-15   search-43/
               293.89362               1.5618433              0.40336743           6.5191859e-06            2.561698e-16   search-45/
               294.06577               1.5625382              0.40412754           8.9513322e-07           1.3581191e-15   search-49/
