branch_id,step,Re,eig_real,eig_imag,period_estimate
1,1,300.0,-0.1220313826075907,0.040496012122275646,155.15565552992794
1,2,301.0,-0.12165236867166737,0.04056529550460966,154.89065786456783
1,3,302.0,-0.12127412982765326,0.040618082259055714,154.68936389232812
1,4,303.0,-0.12089623142223835,0.04065478462046776,154.5497132954014
1,5,304.0,-0.12051820962644114,0.04067585456555659,154.4696571046364
1,6,305.0,-0.12013957887622115,0.04068178459832095,154.4471406359816
1,7,306.0,-0.11975983935392931,0.0406731083627533,154.48008672318392
1,8,307.0,-0.11937848443064351,0.040650400902739886,154.566379854721
1,9,308.0,-0.11899500803253371,0.040614278487588605,154.70385148168216
1,10,309.0,-0.11860891188611328,0.04056539793835421,154.89026674230877
1,11,310.0,-0.1182197125907696,0.04050445540591961,155.12331283588412
1,12,311.0,-0.1178269484622653,0.04043218456652399,155.4005892716907
1,13,312.0,-0.11743018608751173,0.04034935421353173,155.7196002178501
1,14,313.0,-0.11702902652858185,0.04025676523591348,156.0777491772809
1,15,314.0,-0.11662311111165793,0.040155246984254295,156.47233622154917
1,16,315.0,-0.11621212673431103,0.040045653034661795,156.90055801415278
1,17,316.0,-0.11579581062155378,0.039928856370438456,157.35951084818387
1,18,317.0,-0.11537395445762885,0.039805744011849914,157.8461969033696
1,19,318.0,-0.11494640781711216,0.03967721113658735,158.35753388891044
1,20,319.0,-0.11451308081626016,0.03954415474836711,158.89036817607126
1,21,320.0,-0.1140739459054202,0.03940746696901801,159.44149143408282
1,22,321.0,-0.11362903872673244,0.03926802804997979,160.0076606643562
1,23,322.0,-0.11317845797058815,0.03912669922156114,160.58562138349706
1,24,323.0,-0.11272236418010155,0.038984315520949775,161.172133541836
1,25,324.0,-0.11226097747637678,0.03884167876041956,161.76399959268178
1,26,325.0,-0.1117945742081556,0.03869955081282968,162.35809396259413
1,27,326.0,-0.11132348256664425,0.03855864739958739,162.95139303166587
1,28,327.0,-0.11084807724725093,0.03841963256430149,163.54100463255747
1,29,328.0,-0.11036877328193216,0.038283114001989006,164.1241960320454
1,30,329.0,-0.1098860192046116,0.03814963938847616,164.69841937949076
1,31,330.0,-0.10940028974421506,0.03801969381853588,165.26133369638873
1,32,331.0,-0.1089120782618786,0.037893698416829526,165.8108226350656
1,33,332.0,-0.10842188915825907,0.037772010136231896,166.34500744117378
1,34,333.0,-0.10793023047286204,0.03765492270768143,166.86225479617957
1,35,334.0,-0.10743760688032487,0.03754266865858251,167.3611794707409
1,36,335.0,-0.1069445132601521,0.03743542227655394,167.84064196638667
1,37,336.0,-0.10645142897982326,0.03733330336486616,168.29974154102317
1,38,337.0,-0.10595881298977464,0.03723638161666881,168.7378051890769
1,39,338.0,-0.10546709978574689,0.0371446814275142,169.15437326985494
1,40,339.0,-0.10497669625346659,0.03705818696880516,169.54918254551
1,41,340.0,-0.10448797937431906,0.03697684735699618,169.9221474053217
1,42,341.0,-0.10400129474099609,0.03690058177236743,170.27334002318295
1,43,342.0,-0.10351695580972355,0.03682928440461913,170.60297012970335
1,44,343.0,-0.10303524380062944,0.036762829127998234,170.91136499052436
1,45,344.0,-0.1025564081499189,0.03670107383419214,171.1989500788374
1,46,345.0,-0.10208066741543645,0.0366438643752674,171.46623082199793
1,47,346.0,-0.10160821054007518,0.03659103809028963,171.7137756976343
1,48,347.0,-0.10113919838384344,0.036542426907482176,171.94220085839686
1,49,348.0,-0.10067376544435241,0.036497860028384774,172.15215638103402
1,50,349.0,-0.10021202169553249,0.03645716621166543,172.344314165842
1,51,350.0,-0.09975405448511118,0.03642017568231862,172.51935745686058
1,52,351.0,-0.09929993044198554,0.03638672169711051,172.6779719118949
1,53,352.0,-0.09884969735434743,0.03635664180012724,172.820838121457
1,54,353.0,-0.09840338598863715,0.03632977880317588,172.94862545737058
1,55,354.0,-0.0979610118270322,0.036305981525499034,173.06198712095616
1,56,355.0,-0.09752257670813658,0.03628510532572808,173.16155625775383
1,57,356.0,-0.09708807036109034,0.03626701245686971,173.24794300748704
1,58,357.0,-0.09665747182786712,0.03625157227258269,173.3217323633602
1,59,358.0,-0.09623075077221488,0.03623866131013156,173.38348272326886
1,60,359.0,-0.09580786867651014,0.03622816327261396,173.43372502489657
1,61,360.0,-0.09538877992977143,0.03621996893022726,173.47296236734132
1,62,361.0,-0.094973432811787,0.03621397595775956,173.50167003226525
1,63,362.0,-0.09456177037909773,0.036210088722936136,173.52029582848553
1,64,363.0,-0.09415373125936968,0.036208218038141275,173.52926069327575
1,65,364.0,-0.09374925036089529,0.03620828088594763,173.52895949329866
1,66,365.0,-0.09334825950413794,0.0362102001271926,173.5197619761602
