                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.8865634                       0                       0           8.8092778e-15  ./initial-2/
                     300               1.8852017                       0                       0           1.5454992e-14  ./initial-1/
                  299.98               1.8837924                       0                       0           1.3611351e-14  ./initial-0/
               300.31596               1.7962783             0.047185646           1.3842777e-05           3.5128714e-15   search-0/
               302.10994               1.7483702             0.073292475           1.6342679e-05           5.5776143e-16   search-1/
               305.05921               1.7047744             0.098420607           1.0171422e-05           1.6483721e-16   search-2/
               313.34711               1.6349775              0.14461541           1.2243559e-05           4.8769396e-14   search-3/
               322.13764               1.5893659              0.18261501           1.9957382e-05           4.8744883e-15   search-4/
               328.65533               1.5640148              0.20816571            1.720615e-05           1.0454321e-14   search-5/
               335.66112                1.541657              0.23435722           1.1670392e-05           8.0333931e-15   search-6/
               344.32476               1.5188401               0.2656697           1.1658213e-05           8.6498016e-15   search-7/
               353.30213               1.4992023              0.29735549           1.0944639e-05           1.4253735e-15   search-8/
               363.94292               1.4797203              0.33429961           1.1893595e-05           1.3738959e-14   search-9/
               374.77064               1.4630129              0.37146415            1.020825e-05           2.0855947e-15   search-10/
               387.94699               1.4458237              0.41632176           1.1370951e-05           4.9908225e-15   search-11/
               402.95287               1.4293796              0.46709621           1.2260224e-05            2.041302e-15   search-12/
               418.05594                1.415353              0.51798663           1.0545261e-05             4.62937e-15   search-13/
               436.31365               1.4009416              0.57932389           1.1349676e-05           1.2852185e-14   search-14/
               457.09362               1.3870998              0.64897853           1.2181274e-05           6.4659047e-15   search-15/
               477.92305                1.375298              0.71869161           1.0427707e-05           5.1370825e-15   search-16/
               503.15313               1.3631149               0.8030398           1.1279788e-05            1.017303e-14   search-17/
               531.86975                1.351392              0.89896366           1.2144841e-05           3.9262086e-15   search-18/
               560.61199               1.3414036              0.99491749           1.0379448e-05            4.067609e-15   search-19/
               590.58392               1.3324279               1.0949373           8.4894138e-06           3.8435871e-15   search-20/
               620.56191               1.3246148               1.1949499           6.4784071e-06           3.8789642e-15   search-21/
               650.54438               1.3177397                1.294958           4.9511629e-06           2.2416507e-15   search-22/
               680.53024               1.3116349               1.3949633             3.80213e-06           6.7803627e-16   search-23/
               710.51873               1.3061722               1.4949669           2.9747755e-06             5.75525e-16   search-24/
               740.50927               1.3012511               1.5949694           2.3647232e-06           3.1502575e-16   search-25/
               770.50142               1.2967921               1.6949712           1.9057436e-06           5.7877703e-16   search-26/
               800.49486               1.2927308               1.7949726           1.5543882e-06            3.384076e-16   search-27/
               830.48933               1.2890148               1.8949736           1.2813297e-06           3.0811247e-16   search-28/
               860.48463               1.2856005               1.9949743           1.0662808e-06           2.0885691e-16   search-29/
               890.48062               1.2824518               2.0949749           8.9490464e-07           3.3623063e-16   search-30/
               920.47717               1.2795381               2.1949753           7.5687756e-07           2.4672606e-16   search-31/
               950.47419               1.2768337               2.2949757           6.4464173e-07           2.7861453e-16   search-32/
                980.4716               1.2743162                2.394976            5.525814e-07           1.6958915e-16   search-33/
               1010.4693               1.2719669               2.4949762             4.76468e-07           2.1136855e-16   search-34/
               1040.4674               1.2697692               2.5949764           4.1307893e-07           3.1426357e-16   search-35/
               1070.4656               1.2677088               2.6949765           3.5993113e-07           2.3120199e-16   search-36/
               1100.4641               1.2657732               2.7949766           3.1509215e-07           8.6686176e-14   search-37/
               1130.4627               1.2639515               2.8949767           2.7704397e-07           3.5843912e-16   search-38/
               1160.4615                1.262234               2.9949768           2.4458431e-07           3.5687871e-16   search-39/
               1190.4604               1.2606121               3.0949769           2.1675263e-07           2.0717033e-16   search-40/
               1220.4594               1.2590781                3.194977           1.9277687e-07           7.1443568e-14   search-41/
               1250.4585               1.2576254                3.294977           1.7203138e-07           8.3346414e-14   search-42/
               1280.4577               1.2562478                3.394977           1.5400635e-07           9.7645592e-14   search-43/
                1310.457               1.2549398               3.4949771           1.3828361e-07           3.2688491e-16   search-44/
               1340.4564               1.2536964               3.5949771           1.2451842e-07           2.6627717e-16   search-45/
               1370.4558               1.2525133               3.6949771           1.1242485e-07           2.5179513e-16   search-46/
               1400.4553               1.2513863               3.7949772            1.017647e-07           6.7696212e-14   search-47/
               1430.4548               1.2503119               3.8949772           9.2338544e-08           8.0695985e-14   search-48/
               1460.4544               1.2492865               3.9949772           8.3978643e-08           6.3453669e-14   search-49/
