Re,shear
361.87454122122483,2.8993796632022226
361.8745408779024,2.899376499776732
361.87454070425093,2.8993736550129805
361.87454010698883,2.8993638706410247
361.8745358929353,2.899349879951616
361.87433898089563,2.8992040015928167
361.8740620075927,2.8991096439831647
361.87328340451086,2.8989410841107004
361.87109491595413,2.8986478226064523
361.8647841729707,2.8981264927241086
361.7155043494218,2.893518069721006
361.28505450899246,2.8854716069351385
360.98260235753804,2.8800200567746237
360.7700868054572,2.875781820846669
360.62076448781295,2.8723685059552206
360.5158443889024,2.869577091965162
360.4421231515807,2.8672755353963097
360.3903235429517,2.865368549177277
360.35392698997055,2.8637834686449883
360.32835326979836,2.862463096453334
360.3103841257785,2.861361528771653
360.2977582758254,2.8604414620789465
360.28888684832526,2.8596723259275882
360.2826534354631,2.859028920531839
360.2782736023041,2.8584903857862347
360.27519617198357,2.858039400280054
360.273033864542,2.8576615469959554
360.27151456086483,2.8573448038119253
360.27044705868485,2.8570791299162304
360.26969701131816,2.8568561272518074
360.26917002121723,2.8566687614702095
360.26879976080147,2.856511130569693
360.26853962566946,2.8563782713798775
360.26835686996054,2.856265996444555
360.2682284843713,2.8561710623462613
360.26814062537784,2.856092072388069
360.2680805087713,2.856026546180308
360.268039383723,2.8559721228268593
360.2680112599441,2.8559268434815737
360.2679920369573,2.855889079723209
360.2679789080711,2.8558574728671653
360.2679699524479,2.8558308810724995
360.26796385601347,2.8558083379674124
360.26795972017516,2.8557890375134862
360.26795692893575,2.855772259857863
360.26795505989793,2.855756888057046
360.2679538384828,2.855740860483217
360.2679531987233,2.8557224682440254
360.26795309278543,2.8557180076559514
360.2679536448184,2.8557006938086387
360.26795824997254,2.85565787907654
360.26798553090555,2.855564906774304
360.26806282531976,2.8554350800502872
360.26828619312835,2.8552236412662686
360.2708640744541,2.8542553501726857
360.27829813792397,2.8529626785349977
360.2997347859536,2.850895566410803
360.4265047138481,2.844974154465927
361.17618012231486,2.829650621304273
361.702933614948,2.82214148901061
362.0730527031382,2.817023572597801
362.3331138757317,2.813184678013569
362.51584373750006,2.810166722726806
362.6442373758618,2.8077305605344476
362.73445210434943,2.8057327342386347
362.7978407293223,2.804078443700099
362.84238020874807,2.8027003999608837
362.8736754878794,2.8015482411077395
362.8956648363348,2.800582793247689
362.9111154475259,2.799772742918575
362.92197166760405,2.7990925856443543
362.9295996757241,2.7985212850503127
362.9349594066593,2.798041346513824
362.9387253508404,2.7976381441787104
362.94137143352833,2.7972994107164
362.94323065447935,2.7970148369284757
362.9445369932733,2.7967757494442553
362.94545485375215,2.7965748464342584
362.9460997529137,2.7964059781401405
362.94655285779044,2.7962639630035824
362.9468711996623,2.796144432832998
362.9470948509787,2.7960437014149995
362.94725196814557,2.7959586526039795
362.94736233459156,2.7958866438806362
362.94743985181253,2.7958256303921756
362.9474928832616,2.795774713970123
362.947529152934,2.7957323204765494
362.9475539473663,2.795696932819277
362.94757088507293,2.795667281527166
362.94758244252137,2.795642303424468
362.94759031449206,2.795621105782988
362.94759566061435,2.795602843285504
362.9475992651407,2.7955865007233665
362.94760201504215,2.7955691723947833
362.9476036895679,2.79553829754052
362.94760350538803,2.795522523016697
362.9476019662542,2.7955067953026482
362.94759227546797,2.795461763698034
362.94753479259674,2.795351587856013
362.9419493515689,2.793838938508248
362.8758843734147,2.789344223329185
362.48519666380696,2.7785201654687963
362.1862837468942,2.7724748912307855
361.79050261714417,2.764800141329262
361.6165306421779,2.7612610591253253
361.41606034022095,2.756826096793625
361.2752015172148,2.7532905855185663
361.1762282204296,2.750428845866777
361.10668545104613,2.748090740555658
361.0578218042325,2.746168561788424
361.02348817585346,2.7445814112883467
360.99936394746413,2.743266703629237
360.98241327137856,2.7421750443730417
360.9705030337349,2.741266899554343
360.9621344193148,2.7405103039608356
360.9562542977256,2.739879215583577
360.95212269542054,2.739352295145218
360.9492196759835,2.738911978061809
360.9471799103125,2.738543755028209
360.9457467028884,2.7382356057704245
360.9447396887049,2.7379775479170463
360.94403213577965,2.737761274105785
360.9435349969502,2.7375798575483463
360.94318570400145,2.7374275115504765
360.9429402939574,2.73729939156417
360.94276787669395,2.737191430986091
360.94264674777173,2.737100203450954
360.94256165625137,2.737023059153874
360.94250342646825,2.7369588436475474
360.94246358484554,2.73690553343111
360.9424363312637,2.736861200681436
360.9424176953615,2.736824243971866
360.94240495942,2.7367933274305263
360.9423962633611,2.736767326248791
360.942390334541,2.7367452843394893
360.94238630250885,2.7367264281243
360.9423835691066,2.7367101342574243
360.94238171966595,2.7366951527759147
360.94238048631365,2.7366787269224297
360.9423797713792,2.7366576635957527
360.9423800744455,2.736641842651263
360.9423816040323,2.7366219064439177
360.94239087472505,2.7365679826879665
360.9424041230385,2.7365243442038034
360.9424789907169,2.7363886041838175
360.9425843646009,2.7362713585483283
360.9428884767518,2.7360488075845093
361.0018746016951,2.7301951667384428
361.086918405782,2.7266900935882443
361.3321429437176,2.7205690994968883
362.03924964104965,2.7103515887592318
363.4534631419833,2.6978627410227403
364.8676766724956,2.6888229130216468
366.2818902130821,2.6813139249607643
367.69610375822236,2.6746731899373977
369.11031730554896,2.6685767364586535
370.5245308537496,2.662836375653887
371.93874440192394,2.657330436543538
373.35295794932574,2.6519742241124566
374.7671714952333,2.646705554784245
376.1813850388689,2.6414770262572134
377.5955985793362,2.6362517511707466
379.0098121155627,2.631001244736095
380.424025646243,2.625705148716098
381.83823916978946,2.620353225832818
383.2524526843212,2.6149508775949455
384.66666618779306,2.6095303073495817
386.08087967852435,2.604169308035445
387.49509315661476,2.599014241959657
388.90930662629006,2.594285315013429
390.32352009668114,2.5902212079554054
391.73773357667574,2.586963293508885
391.8339423102631,2.586771225870463
393.24815580744564,2.5843439261404315
394.66236931915023,2.582547768897051
