physical_id,case,group,direction,step,Re,input
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,1,300.02,1.4519329
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,2,300.0,1.4519439
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,3,299.98,1.4519548
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,4,270.22053,1.4708225
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,5,254.68739,1.4834056
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,6,241.25021,1.4965264
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,7,227.88998,1.5124469
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,8,216.42355,1.5293449
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,9,206.37832,1.5476838
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,10,196.54601,1.5703543
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,11,188.57188,1.5939544
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,12,181.02643,1.6232507
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,13,175.04934,1.6547704
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,14,169.94892,1.6931929
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,15,166.17022,1.7385953
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,16,164.13788,1.7852376
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,17,163.69327,1.806785
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,18,163.71718,1.8645529
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,19,165.04391,1.9190226
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,20,167.1199,1.9685043
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,21,170.01518,2.0199941
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,22,173.63108,2.072377
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,23,177.87698,2.1249738
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,24,182.67781,2.1773184
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,25,187.97682,2.2290925
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,26,194.52006,2.2866825
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,27,201.61205,2.3430317
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,28,209.22819,2.3979412
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,29,218.40253,2.4577653
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,30,228.20686,2.5153168
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,31,238.63058,2.570397
re300_lx2pi_lzpi_003,re300_lx2pi_lzpi,E,minus,32,249.66076,2.6228571
