                     %Re                     obs                       s                guesserr                   error     directory
                  300.02               1.4805447                       0                       0           2.0652312e-16  ./initial-2/
                     300               1.4805651                       0                       0           1.3694364e-15  ./initial-1/
                  299.98               1.4805855                       0                       0           2.1933889e-16  ./initial-0/
               274.21397               1.5121506              0.08856139           1.4221157e-05           2.3449631e-15   search-0/
               262.10941                1.532144              0.13110969           1.8362953e-05            4.489748e-15   search-1/
                251.7409               1.5535459              0.16857252           1.6944936e-05           5.5696877e-15   search-2/
                241.6433               1.5802177              0.20674888           1.6547558e-05           6.7742435e-15   search-3/
               233.27751               1.6093453              0.24087608           1.6802425e-05           1.7189857e-14   search-4/
               225.53553               1.6463987              0.27682476           1.9776439e-05           5.6943293e-14   search-5/
               219.83528               1.6859486              0.30960581           1.7240255e-05           1.0526109e-14   search-6/
               215.43192               1.7337467              0.34506955            1.536916e-05           4.4089935e-15   search-7/
               212.86125               1.7847715              0.38058191           1.2716916e-05           2.0562149e-16   search-8/
               212.13057               1.8142137              0.40061635           1.4083105e-05           5.6716361e-14   search-9/
               212.12527               1.8888175              0.45100505           1.1765783e-05           2.6931578e-16   search-10/
               213.53141               1.9466085              0.49031856           1.6737331e-05           1.3683119e-15   search-11/
                215.7892                2.002214               0.5286221           1.6715907e-05           5.9250513e-14   search-12/
               218.92321               2.0600115              0.56903319           1.4601753e-05           1.7049009e-14   search-13/
               222.82933               2.1188163               0.6108308           1.3729374e-05           3.1278608e-15   search-14/
               227.41126               2.1778914              0.65355439            1.266995e-05           6.0459393e-15   search-15/
               232.58891                2.236744              0.69688956           1.1365017e-05           6.8109957e-15   search-16/
               238.30046               2.2950439              0.74062739           1.0073842e-05           3.2667878e-15   search-17/
               245.56973               2.3619832              0.79192321           1.1821476e-05           1.8365014e-15   search-18/
               253.45516               2.4276242              0.84346431           1.1784304e-05           4.3954651e-15   search-19/
               261.92336               2.4917462              0.89516022           1.0917701e-05           1.1967763e-15   search-20/
               272.18983               2.5622681              0.95381087           1.2221126e-05           2.9600086e-15   search-21/
               283.15688               2.6302715               1.0125138           1.2195461e-05           5.1143133e-15   search-22/
               294.81566               2.6954283                1.071225           1.1701638e-05            2.243293e-15   search-23/
               307.16465                2.757374               1.1299186           1.1066005e-05           4.2036313e-15   search-24/
               320.20727               2.8157022               1.1885884           1.0703066e-05           3.8378396e-15   search-25/
               333.94838               2.8699711               1.2472528           1.0447502e-05            2.675081e-15   search-26/
               348.38914               2.9197334               1.3059616           1.0134107e-05           7.9217829e-15   search-27/
               365.61656               2.9702731               1.3727659           1.2192881e-05            3.014465e-15   search-28/
               383.69062               3.0141995               1.4399218           1.2379143e-05           5.1338688e-15   search-29/
               402.52265               3.0516327               1.5075956           1.1256981e-05           5.3834416e-15   search-30/
               424.85215               3.0873645               1.5858421           1.2037043e-05           7.8076659e-15   search-31/
                447.7772               3.1169737               1.6648325           1.0949509e-05           7.4500914e-15   search-32/
               474.14595               3.1451584               1.7547661           1.2220969e-05           2.6363963e-14   search-33/
               500.79971               3.1695217                1.845123           1.2536753e-05           1.3549295e-14   search-34/
               527.61476               3.1911265               1.9356898           1.3005422e-05           9.4547914e-15   search-35/
                554.5293               3.2104439               2.0263487           1.3640464e-05           1.1906622e-14   search-36/
               581.51609               3.2277576               2.1170616           1.4589366e-05            1.313087e-14   search-37/
               608.55913               3.2435861               2.2078368           1.5016447e-05           3.4684723e-14   search-38/
               635.63989               3.2589767               2.2987026           1.4270937e-05           6.8385915e-14   search-39/
               662.73139               3.2753879               2.3896853           1.3994426e-05           5.8002883e-14   search-40/
               689.79877               3.2941303               2.4807936           1.6019391e-05           3.8776147e-14   search-41/
               716.80458               3.3159006                2.572006           1.7077776e-05           5.2421555e-14   search-42/
               743.71785               3.3407429               2.6632725           1.5348855e-05           2.4289075e-14   search-43/
               770.52252                3.368235               2.7545305            1.225086e-05           2.5252822e-14   search-44/
               799.77313               3.4005759               2.8544494           1.0912986e-05           1.3742733e-14   search-45/
               828.94493               3.4341995               2.9543055           8.6287242e-06           1.0537929e-14   search-46/
               858.09826               3.4679828               3.0541262           6.4871838e-06           9.6394885e-15   search-47/
