      #(t)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
 43.2639      0.357046       0.49885     0.0515763     0.0587605     0.0447181    0.00611291             0             0       1.25182       0.62591      -0.62591       1.23658
   44.27      0.359294      0.502521     0.0495926     0.0565396     0.0428814    0.00565615             0             0       1.25736      0.628682     -0.628682       1.24413
 45.2761      0.360989      0.505344     0.0476616     0.0546033     0.0414267    0.00525314             0             0       1.26011      0.630055     -0.630055        1.2483
 46.2823      0.362144      0.507339     0.0457941     0.0529711     0.0404043    0.00490303             0             0       1.26027      0.630136     -0.630136       1.24918
 47.2884      0.362777      0.508537     0.0440005     0.0516635     0.0398571    0.00460516             0             0       1.25808      0.629039     -0.629039       1.24692
 48.2945      0.362913      0.508972     0.0422909     0.0507009     0.0398132     0.0043591             0             0       1.25375      0.626873     -0.626873        1.2417
 49.3007      0.362578      0.508685     0.0406747     0.0501023     0.0402824    0.00416467             0             0       1.24749      0.623745     -0.623745       1.23374
 50.3068      0.361802       0.50772     0.0391612     0.0498838     0.0412546    0.00402199             0             0       1.23951      0.619754     -0.619754       1.22328
 51.3129       0.36062      0.506124     0.0377599      0.050057     0.0427035    0.00393152             0             0       1.22999      0.614995     -0.614995        1.2106
 52.3191      0.359065      0.503946     0.0364811     0.0506286     0.0445926    0.00389412             0             0       1.21911      0.609555     -0.609555         1.196
 53.3252      0.357177      0.501238     0.0353357     0.0515997     0.0468823    0.00391114             0             0       1.20704      0.603518     -0.603518        1.1798
 54.3314      0.354994      0.498053     0.0343356     0.0529672     0.0495363    0.00398446             0             0       1.19393      0.596966     -0.596966       1.16232
 55.3375      0.352556      0.494444     0.0334932     0.0547253     0.0525248    0.00411666             0             0       1.17995      0.589975     -0.589975       1.14395
 56.3436      0.349906      0.490467     0.0328209     0.0568671     0.0558271    0.00431108             0             0       1.16525      0.582625     -0.582625       1.12503
 57.3498      0.347088      0.486177     0.0323303     0.0593865     0.0594307      0.004572             0             0       1.14999      0.574993     -0.574993       1.10595
 58.3559      0.344144      0.481629     0.0320319     0.0622788     0.0633303    0.00490469             0             0       1.13431      0.567155     -0.567155        1.0871
