                     %Re                     obs                       s                guesserr                   error     directory
                  400.02               2.0096454                       0                       0           1.2379879e-15  ./initial-2/
                     400               2.0097125                       0                       0           1.6808377e-14  ./initial-1/
                  399.98               2.0097796                       0                       0           5.7561119e-15  ./initial-0/
               393.17812               2.0371725             0.021853341            1.397026e-05           3.6085086e-16   search-0/
               389.92888               2.0543679             0.033651324           1.7719171e-05           4.3459451e-14   search-1/
               386.98383               2.0733536             0.045628535           1.6330257e-05           6.8141082e-14   search-2/
               384.39499                2.094011              0.05777518           1.0252715e-05           4.9400166e-15   search-3/
               381.83092               2.1212029             0.072747081            1.149025e-05           1.1624248e-14   search-4/
                379.9591               2.1540088             0.089728284           1.1908986e-05           1.7804257e-14   search-5/
               379.66326               2.1641344             0.094820601           1.8399415e-06            4.885201e-14   search-8/
               379.56127               2.1696985             0.097600936           2.5562198e-07           7.9919104e-14   search-11/
               379.54234                2.171119             0.098309322           1.0915564e-08           9.5157693e-14   search-15/
               379.54018                2.171297             0.098398042           1.3397791e-10           1.0294811e-14   search-20/
               379.53599                2.171653             0.098575499           2.4541682e-11           8.9276857e-14   search-21/
               379.52816               2.1723655             0.098930559            6.280163e-11           2.3918999e-14   search-22/
               379.52452               2.1727219              0.09910813           3.5893657e-11           8.2513668e-14   search-25/
               379.51781               2.1734352             0.099463467           9.0280764e-11           8.3162211e-14   search-26/
               379.51473                2.173792             0.099641178           3.6058465e-11           8.9556033e-14   search-29/
               379.51184                2.174149             0.099818963           2.4107808e-11           8.0167062e-14   search-31/
               379.50663               2.1748633               0.1001746           7.2422101e-11           9.1192503e-14   search-32/
               379.50545               2.1750419              0.10026352           1.3245293e-11           9.2374008e-14   search-36/
               379.50516               2.1750866              0.10028577           6.3199225e-13           8.4936521e-15   search-40/
