      #(Re)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
  300.02      0.132671      0.181477     0.0204611     0.0430182     0.0839028    0.00226922             0             0      0.368862      0.184431     -0.184431      0.368862
     300      0.132685      0.181495      0.020465     0.0430246     0.0839137    0.00226994             0             0      0.368928      0.184464     -0.184464      0.368928
  299.98      0.132699      0.181514     0.0204689     0.0430311     0.0839245    0.00227065             0             0      0.368994      0.184497     -0.184497      0.368994
 283.478      0.146441      0.199672     0.0243588     0.0492746     0.0942428    0.00302134             0             0      0.436188      0.218094     -0.218094      0.436188
 275.882      0.154569      0.210369     0.0268081     0.0530038      0.100223    0.00352807             0             0      0.479136      0.239568     -0.239568      0.479136
 269.297      0.163099      0.221559      0.029504     0.0569539      0.106409    0.00411423             0             0       0.52697      0.263485     -0.263485       0.52697
 263.217      0.172932      0.234407     0.0327782     0.0615602      0.113429    0.00486407             0             0      0.585901       0.29295      -0.29295      0.585901
 258.758      0.182331      0.246635     0.0360808     0.0660175       0.12002    0.00566013             0             0      0.646386      0.323193     -0.323193      0.646386
 255.781      0.191027      0.257901     0.0392939     0.0701818      0.125987     0.0064695             0             0      0.706518      0.353259     -0.353259      0.706518
 254.783      0.195339      0.263472     0.0409476     0.0722518      0.128874    0.00689702             0             0      0.738216      0.369108     -0.369108      0.738216
 254.512      0.197049      0.265679      0.041616     0.0730694      0.129995    0.00707103             0             0      0.751277      0.375638     -0.375638      0.751277
 254.407      0.198001      0.266908     0.0419913     0.0735217       0.13061    0.00716872             0             0      0.758712      0.379356     -0.379356      0.758712
 254.368      0.198526      0.267586     0.0421999     0.0737703      0.130945    0.00722288             0             0      0.762887      0.381443     -0.381443      0.762887
 254.342      0.199302      0.268589     0.0425097     0.0741347      0.131432    0.00730303             0             0      0.769169      0.384585     -0.384585      0.769169
 254.414      0.200388      0.269992     0.0429472      0.074634      0.132088    0.00741469             0             0      0.778311      0.389156     -0.389156      0.778311
 254.943      0.201454      0.271383     0.0433896     0.0750732      0.132616    0.00751863             0             0      0.788749      0.394375     -0.394375      0.788749
 256.852      0.200508      0.270222     0.0430388      0.074396      0.131534     0.0073871             0             0      0.786642      0.393321     -0.393321      0.786642
   260.1      0.196806      0.265548     0.0415781     0.0722539      0.128397    0.00694936             0             0      0.765094      0.382547     -0.382547      0.765094
 260.328      0.196528      0.265196      0.041468     0.0720952      0.128165    0.00691731             0             0      0.763408      0.381704     -0.381704      0.763408
 265.064      0.190878       0.25804     0.0392369      0.068884      0.123482    0.00628453             0             0      0.728935      0.364468     -0.364468      0.728935
  271.25      0.184246      0.249625     0.0366413     0.0651022      0.117915    0.00558087             0             0      0.688889      0.344444     -0.344444      0.688889
 279.063      0.177094      0.240536     0.0338815     0.0609863      0.111774    0.00486728             0             0      0.646863      0.323431     -0.323431      0.646863
 288.917      0.169586      0.230978     0.0310342     0.0566102      0.105138    0.00416783             0             0      0.604265      0.302132     -0.302132      0.604265
 299.905      0.162672      0.222163     0.0284609     0.0525187     0.0988302    0.00356823             0             0      0.566505      0.283253     -0.283253      0.566505
 311.903      0.156416      0.214173     0.0261717     0.0487503     0.0929262    0.00306155             0             0      0.533585      0.266792     -0.266792      0.533585
 323.238      0.151446      0.207821     0.0243777     0.0456989     0.0880763    0.00268266             0             0       0.50831      0.254155     -0.254155       0.50831
 335.068      0.147024      0.202163     0.0227955     0.0429262     0.0836131    0.00236229             0             0       0.48649      0.243245     -0.243245       0.48649
 347.266      0.143123      0.197171     0.0214063     0.0404212     0.0795333     0.0020921             0             0      0.467793      0.233897     -0.233897      0.467793
 359.733      0.139702      0.192794     0.0201878     0.0381637     0.0758166    0.00186401             0             0      0.451842      0.225921     -0.225921      0.451842
 372.394      0.136714      0.188972     0.0191174     0.0361296     0.0724347    0.00167083             0             0       0.43827      0.219135     -0.219135       0.43827
 387.531      0.133673      0.185088      0.018015     0.0339806      0.068827    0.00147922             0             0      0.424841       0.21242      -0.21242      0.424841
 402.804      0.131092      0.181799     0.0170601     0.0320707     0.0655907    0.00131958             0             0      0.413782      0.206891     -0.206891      0.413782
 420.408      0.128619      0.178655     0.0161158      0.030134     0.0622804    0.00116778             0             0      0.403516      0.201758     -0.201758      0.403516
 438.094      0.126578      0.176074     0.0153021     0.0284239     0.0593343    0.00104207             0             0      0.395354      0.197677     -0.197677      0.395354
 458.802      0.124652      0.173653     0.0144863     0.0266675     0.0562878   0.000921008             0             0      0.387979      0.193989     -0.193989      0.387979
 479.556      0.123131      0.171759     0.0137868     0.0251261     0.0535991     0.0008214             0             0      0.382474      0.191237     -0.191237      0.382474
 504.089      0.121759      0.170076     0.0130808     0.0235347     0.0508119   0.000724991             0             0      0.377891      0.188946     -0.188946      0.377891
 528.644      0.120757      0.168874      0.012478     0.0221466     0.0483759   0.000646172             0             0      0.374949      0.187474     -0.187474      0.374949
  557.88      0.119946      0.167941     0.0118659     0.0207106     0.0458582   0.000569731             0             0      0.373101      0.186551     -0.186551      0.373101
 587.123      0.119455      0.167425      0.011343     0.0194662     0.0436858   0.000507596             0             0      0.372619      0.186309     -0.186309      0.372619
 617.126      0.119203      0.167223     0.0108776     0.0183518     0.0417566   0.000455112             0             0      0.373163      0.186582     -0.186582      0.373163
 647.126      0.119138      0.167262     0.0104672     0.0173729     0.0400826   0.000411381             0             0      0.374448      0.187224     -0.187224      0.374448
 677.123      0.119207       0.16747     0.0100988     0.0165063     0.0386239   0.000374444             0             0      0.376214      0.188107     -0.188107      0.376214
 707.119      0.119363      0.167787    0.00976224     0.0157336     0.0373477   0.000342847             0             0      0.378256      0.189128     -0.189128      0.378256
 737.115      0.119574      0.168167     0.0094504     0.0150398     0.0362263   0.000315505             0             0       0.38041      0.190205     -0.190205       0.38041
