                     %Lz                     obs                       s                guesserr                   error     directory
               2.5926895               2.0074583                       0                       0           1.8727869e-16  ./initial-2/
               2.5826895               1.9819276                       0                       0           5.0817645e-14  ./initial-1/
               2.5726895               1.9544149                       0                       0           2.4921452e-14  ./initial-0/
               2.5485797                1.873883             0.056103326           1.1759166e-05           4.1149547e-14   search-0/
               2.5348463               1.8019276             0.092796418           1.8958186e-05           1.2993046e-15   search-1/
               2.5318317               1.7723578              0.10776176           5.8121087e-06           4.5105539e-16   search-3/
               2.5306304                1.743046               0.1225586           2.0558549e-06           7.4530386e-14   search-5/
               2.5321777               1.7043766              0.14207879            6.366074e-06            8.294675e-16   search-6/
               2.5383672               1.6637497              0.16271711           8.5375081e-06           6.0416715e-14   search-7/
               2.5497952               1.6246421              0.18293924           9.5278092e-06           1.5127952e-14   search-8/
                2.567376               1.5868266              0.20319734            9.507263e-06            1.163527e-14   search-9/
               2.5924308               1.5502931              0.22402754           9.4369908e-06           4.8999647e-15   search-10/
                2.625471               1.5163221              0.24541565           9.7003928e-06           4.8547439e-15   search-11/
               2.6659221               1.4861243              0.26726663           1.1378984e-05           8.2307833e-16   search-12/
               2.7131409               1.4598852              0.28983954           1.4213792e-05           5.1432527e-15   search-13/
               2.7658791               1.4375854              0.31315411           1.5878631e-05           1.4830469e-15   search-14/
               2.8226494               1.4189345              0.33706488           1.5171723e-05           1.8087998e-15   search-15/
               2.8821371               1.4034556              0.36138619           1.2741164e-05           2.1564227e-15   search-16/
               2.9512231               1.3891643               0.3890907            1.223986e-05           2.9109438e-15   search-17/
               3.0305743               1.3762677              0.42049645           1.2275254e-05           3.9246939e-15   search-18/
               3.1209797                1.364905              0.45596722           1.2288974e-05           4.4586228e-15   search-19/
