                     %Lx                     obs                       s                guesserr                   error     directory
               7.8611571               2.0613249                       0                       0           6.2117269e-14  ./initial-2/
               7.8561571               2.0563558                       0                       0           3.7050223e-16  ./initial-1/
               7.8511571               2.0513934                       0                       0           4.1741015e-14  ./initial-0/
               7.7386036               1.9341668             0.061275405           1.2532796e-05           3.1888897e-16   search-0/
               7.6805407               1.8498654              0.10293183           1.7513345e-05           5.9000033e-15   search-1/
               7.6649703               1.8037174               0.1254608           5.9349526e-06           5.4212644e-16   search-3/
                7.663655               1.7940069              0.13018598           4.2600113e-07           2.9048383e-16   search-7/
               7.6632511               1.7885037              0.13286265           4.1832313e-08           5.3988273e-15   search-10/
               7.6631831                1.778444              0.13775467           4.8207598e-08           2.0833174e-14   search-11/
               7.6656468                1.759151              0.14714203           2.2183525e-07           1.2266962e-15   search-12/
               7.6808069               1.7227845              0.16493193           1.5724736e-06            1.674569e-14   search-13/
               7.7317864                1.670794              0.19103423           6.2937343e-06           5.2801284e-14   search-14/
               7.8216001               1.6215055               0.2175899           9.4904457e-06            2.162527e-14   search-15/
               7.9496892               1.5768338              0.24475146           1.0658361e-05           3.2214906e-15   search-16/
               8.1144132               1.5368936              0.27333259           1.2226919e-05           1.6761329e-15   search-17/
               8.3098401               1.5020114              0.30344147           1.3338588e-05           1.7384476e-14   search-18/
               8.5277348               1.4721405               0.3347507           1.2474235e-05           1.0702746e-14   search-19/
               8.7605932               1.4467986              0.36685082           1.0136798e-05           1.1283463e-14   search-20/
               9.0597927               1.4208336              0.40697412           1.1037746e-05           2.0947437e-14   search-21/
               9.4160714               1.3964941              0.45384353           1.1909116e-05           1.1959677e-14   search-22/
                9.829378               1.3744186              0.50753693           1.2112797e-05           1.4939378e-14   search-23/
               10.313263               1.3544519              0.56989069           1.1865887e-05           2.4415174e-14   search-24/
               10.883232               1.3366913              0.64295355           1.1706007e-05           2.9204895e-14   search-25/
               11.556071               1.3214332              0.72891915           1.1621886e-05           3.2980828e-14   search-26/
               12.341768               1.3091998              0.82910627           1.1255232e-05           1.9271305e-14   search-27/
               13.127659               1.3013287               0.9292146           8.1622572e-06           5.7075172e-15   search-28/
               13.913512               1.2967106               1.0292699           5.4116823e-06           2.2424528e-15   search-29/
               14.699306               1.2946026               1.1292979           3.6596247e-06           4.2774021e-15   search-30/
               15.485037               1.2944865               1.2293126           2.7275434e-06           1.6869386e-15   search-31/
               16.270694               1.2959884               1.3293205           2.2398522e-06           1.2458138e-15   search-32/
               17.056267               1.2988306               1.4293247           1.9996308e-06           1.7093842e-15   search-33/
               17.841754               1.3028021               1.5293269           1.8981205e-06           8.7079241e-16   search-34/
               18.627152               1.3077397                1.629328           1.8759627e-06           1.4265666e-15   search-35/
               19.412461               1.3135158               1.7293284           1.9029789e-06           1.1077282e-15   search-36/
               20.197683               1.3200314               1.8293286           1.9670121e-06           2.5799833e-16   search-37/
                20.98282               1.3272138               1.9293286             2.06869e-06           2.8497434e-16   search-38/
               21.767871               1.3350182               2.0293288           2.2202186e-06           6.9012748e-16   search-39/
