case,group,unique_id,members,n_sol_ids,n_curves,plot_path
re400_lx10_lz6,C,u002,sol002@J1K3L5,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/C/u002.png
re400_lx10_lz6,C,u003,sol005@J2K4L7,1,6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/C/u003.png
re400_lx10_lz6,C,u004,sol008@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/C/u004.png
re400_lx10_lz6,C,u005,sol009@J1K3L5,1,1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/C/u005.png
re400_lx10_lz6,C,u006,sol006@J2K4L6,1,5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/C/u006.png
re400_lx10_lz6,D,u001,sol003@J1K4L5,1,4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/D/u001.png
re400_lx10_lz6,D,u002,sol005@J1K4L5,1,2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/D/u002.png
re400_lx10_lz6,D,u003,sol001@J1K3L5,1,7,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/D/u003.png
re400_lx10_lz6,D,u004,sol004@J1K3L5;sol009@J1K3L5,2,5,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/D/u004.png
re400_lx10_lz6,E,u001,sol004@J2K4L9;sol007@J2K4L6,2,11,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/analysis/findsoln_unique/bif_overlays/re400_lx10_lz6/E/u001.png
