                     %Re                     obs                       s                guesserr                   error     directory
                   300.1               1.4335936                       0                       0           4.7285869e-16  ./initial-2/
                     300               1.4336419                       0                       0            2.342246e-14  ./initial-1/
                   299.9               1.4336904                       0                       0           4.2577552e-16  ./initial-0/
               270.14892               1.4534101              0.10045468           1.3339558e-05           1.0493441e-14   search-0/
               255.59907               1.4678353              0.14998693           1.8062462e-05           2.6083591e-14   search-1/
               242.97355               1.4835631              0.19347835           1.6802189e-05           6.6624941e-15   search-2/
               230.48817               1.5023565                0.237112           1.5397305e-05           3.6013784e-15   search-3/
               218.18451               1.5240382              0.28082381           1.8032877e-05           2.4885406e-15   search-4/
               207.58717               1.5449422              0.31903931           1.6611802e-05           1.6504617e-15   search-5/
               197.13841               1.5670835              0.35713907           1.7205454e-05           4.3904328e-15   search-6/
               186.80596                 1.58991              0.39508282           1.9671057e-05           5.1173334e-15   search-7/
               178.27134               1.6091117              0.42652676           1.7677584e-05           1.0574853e-15   search-8/
               169.76198               1.6284215              0.45792678           1.9611038e-05           7.2656089e-15   search-9/
               162.68559               1.6446943              0.48410371           1.7633159e-05           6.0300095e-15   search-10/
               156.42343                1.659543              0.50740591           1.6359599e-05           7.3306392e-15   search-11/
               150.19622                1.675328              0.53090264           1.8934499e-05           1.0769788e-14   search-12/
               145.13393               1.6897941              0.55056374           1.7872237e-05           5.7999322e-15   search-13/
               140.83492               1.7044817              0.56817938           1.6722374e-05           3.3195113e-14   search-14/
               136.75953               1.7228079              0.58683266           1.9597878e-05            3.961097e-14   search-15/
               133.77827               1.7428227              0.60396918             1.78669e-05            7.391524e-14   search-16/
               131.52744               1.7710592              0.62504544           1.8187245e-05           6.2528684e-16   search-17/
               130.84989               1.7948515              0.64179408           1.8677229e-05           3.3006945e-14   search-18/
               131.05138               1.8253152              0.66305387           1.7375226e-05           3.8662114e-16   search-19/
               131.82191               1.8497561              0.68029443           1.6908598e-05           8.0860401e-16   search-20/
                133.1362               1.8768073               0.6996652           1.6310712e-05           9.8866878e-14   search-21/
               134.92514               1.9052467              0.72037922           1.4233526e-05           2.8093315e-14   search-22/
               137.11044               1.9344169              0.74199076           1.2515923e-05           1.3857274e-14   search-23/
               139.62136               1.9638742              0.76417722           1.0301498e-05           7.6723599e-15   search-24/
               142.96904               1.9990315              0.79111985            1.149782e-05           6.6617631e-15   search-25/
               146.64413               2.0339954              0.81841182           1.0585303e-05           7.4668448e-15   search-26/
                151.2712               2.0741762              0.85040251           1.1852077e-05           1.0850267e-14   search-27/
               156.24285                2.113745              0.88259579           1.0772978e-05           1.2166959e-14   search-28/
               162.34647               2.1583422              0.91976594           1.2004478e-05           4.8033188e-15   search-29/
               168.83956               2.2019225              0.95708223           1.1198531e-05           1.6923514e-14   search-30/
               176.55568               2.2495392              0.99909047           1.2356488e-05           8.5283535e-15   search-31/
               184.70247               2.2958408               1.0412866           1.1811011e-05           1.1601391e-14   search-32/
                193.2463               2.3408853               1.0836926           1.0955701e-05           7.5242419e-15   search-33/
               202.14754                2.384772               1.1263242            1.005293e-05           1.9160611e-15   search-34/
                212.7065               2.4337232               1.1753615           1.2095167e-05           1.0335363e-14   search-35/
               223.60811               2.4816521               1.2247393           1.2742511e-05           7.6714924e-15   search-36/
               234.77996               2.5288856                1.274461           1.2615343e-05             3.23032e-15   search-37/
                246.1468               2.5757354               1.3244962           1.2107869e-05           4.5106491e-15   search-38/
               257.63858               2.6224657               1.3747935           1.1757155e-05           6.3960733e-15   search-39/
               269.19595               2.6692539               1.4252835           1.1377707e-05             6.62996e-15   search-40/
               280.77491               2.7161706               1.4758864           1.0842776e-05             6.05919e-15   search-41/
                292.3496               2.7631869               1.5265234           1.0145457e-05           6.5205179e-15   search-42/
                 305.601               2.8170784               1.5845248            1.202776e-05           4.6244796e-15   search-43/
               318.84529               2.8708427               1.6424507           1.2268525e-05           7.6083623e-15   search-44/
               332.09972               2.9244345               1.7003245            1.185735e-05            5.228408e-15   search-45/
               345.37617               2.9779259               1.7582093           1.1401216e-05           5.4919601e-15   search-46/
               358.67215               3.0314388               1.8161534           1.1476718e-05           1.1135096e-14   search-47/
               371.97403               3.0850544               1.8741588           1.1968976e-05           1.1289158e-14   search-48/
               385.26776               3.1387345               1.9321725            1.291342e-05           1.1084606e-14   search-49/
