branch_id,step,Re,eig_real,eig_imag,period_estimate
1,1,370.0,-0.07722883292038688,0.010000459053102057,628.2896888848913
1,2,375.0,-0.07641516884114893,0.00995819078905645,630.956510100659
1,3,380.0,-0.07559091251252378,0.009894655235722692,635.0080076054991
1,4,385.0,-0.07476285296140742,0.009816993496359457,640.0315238580579
1,5,390.0,-0.07393630166485962,0.009730109925838604,645.7465902306402
1,6,395.0,-0.07311546746460817,0.009637331884029628,651.9631556522071
1,7,400.0,-0.0723037307251922,0.009540843312963489,658.5565972603696
1,8,405.0,-0.071503848888884,0.009441977320408431,665.4522769927385
1,9,410.0,-0.07071811516635874,0.009341417368638768,672.6158418179288
1,10,415.0,-0.06994848526553975,0.009239336715360163,680.0472264133366
1,11,420.0,-0.06919668298131536,0.009135494225183482,687.7772731615286
1,12,425.0,-0.06846429319881936,0.009029297633549389,695.866451874805
1,13,430.0,-0.06775284994477576,0.00891984072932494,704.4055491397885
1,14,435.0,-0.06706392745416145,0.008805917537279911,713.5185266702395
1,15,440.0,-0.0663992440629593,0.008686013628188004,723.3681152409528
1,16,445.0,-0.06576079287773114,0.008558271457657274,734.1652269697383
1,17,450.0,-0.0651510213833729,0.008420422253433247,746.1841126337521
1,18,455.0,-0.06457309834987202,0.008269669982067747,759.7867050080927
1,19,460.0,-0.06403133962576986,0.00810250051834156,775.4624998735137
1,20,465.0,-0.06353193711569291,0.00791436536636299,793.8962906468639
1,21,470.0,-0.06308430899069278,0.007699140840927867,816.0891503346448
1,22,475.0,-0.06270385571823883,0.00744816051356452,843.5888694579968
1,23,480.0,-0.06241837428433609,0.00714840620646363,878.9631039011596
1,24,485.0,-0.062286187324719564,0.006779254517363011,926.8254040451066
1,25,490.0,-0.062467071632446976,0.00631298786778813,995.2791671340585
1,26,495.0,-0.06364639625583601,0.006060408490139868,1036.759373135024
1,27,500.0,-0.06425469911775811,0.007838454000740201,801.5847648766264
1,28,505.0,-0.06362410876195043,0.00904239296986888,694.8586870883025
1,29,510.0,-0.06283864218568466,0.009811963114107062,640.359654241463
